px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
161.488	27.4205	2.99665	0.487633	0.0467464	161.529	27.8454	161.493	27.4891	2.65371	1.33344	0.317427
163.765	28.8272	2.81905	0.582114	0.0800102	163.625	28.7683	164.155	28.8064	2.64354	1.28825	3.03954
163.844	28.8261	2.87652	0.556024	0.0561121	164.116	29.315	164.155	28.8064	2.64354	1.28825	2.04794
166.678	30.1663	3.0379	0.427269	-0.0570396	166.828	30.2062	166.809	30.0721	2.63006	1.22694	3.75467
166.664	30.166	3.01676	0.43587	-0.0476332	166.748	29.7121	166.809	30.0721	2.63006	1.22694	0.206559
169.187	31.3982	2.91125	0.43645	-0.0196353	169.097	31.3717	169.452	31.2706	2.61238	1.15075	1.16296
169.189	31.3984	2.91018	0.437155	-0.0184159	169.345	30.7063	169.452	31.2706	2.61238	1.15075	0.0336946
172.085	32.3351	3.00297	0.277111	-0.101863	172.175	32.3404	172.079	32.3873	2.58945	1.06126	1.42389
172.088	32.3342	2.98604	0.27904	-0.098669	172.135	32.6666	172.079	32.3873	2.58945	1.06126	0.413729
174.719	33.4428	2.91151	0.368224	0.00809217	174.643	33.4625	174.685	33.4095	2.56021	0.960341	1.45717
174.681	33.4435	2.86698	0.379124	0.0193776	174.474	33.9157	174.685	33.4095	2.56021	0.960341	0.655535
177.142	34.2587	2.7186	0.328061	-0.0184457	177.03	34.2009	177.261	34.3262	2.52363	0.850119	2.15892
177.128	34.2578	2.69322	0.333166	-0.0130317	177.211	33.8467	177.261	34.3262	2.52363	0.850119	0.27107
179.982	35.101	2.88789	0.268332	-0.0431923	180.145	35.1423	179.799	35.1289	2.47883	0.732949	3.68652
179.906	35.0901	2.80441	0.279487	-0.0331077	179.543	35.4767	179.799	35.1289	2.47883	0.732949	2.42715
182.595	35.7566	2.8072	0.223397	-0.0460603	182.599	35.753	182.292	35.8114	2.42515	0.611338	0.0131777
182.512	35.742	2.72254	0.228942	-0.0414597	182.047	36.2626	182.292	35.8114	2.42515	0.611338	2.78439
184.856	36.518	2.58077	0.302225	0.0228096	184.732	36.5155	184.73	36.37	2.36226	0.487877	2.22233
184.817	36.5173	2.52183	0.311856	0.0327661	184.833	36.1451	184.73	36.37	2.36226	0.487877	1.1956
187.047	36.9986	2.3882	0.228279	-0.0306693	186.946	36.9404	187.103	36.804	2.29017	0.365145	1.98287
187.08	37.0038	2.41064	0.22564	-0.0324936	187.296	36.9375	187.103	36.804	2.29017	0.365145	0.518621
189.45	37.4112	2.42603	0.149809	-0.0562989	189.465	37.4052	189.401	37.1147	2.20928	0.245623	0.067448
189.462	37.4104	2.41177	0.146991	-0.0585437	189.738	36.951	189.401	37.1147	2.20928	0.245623	0.781224
191.769	37.5776	2.37113	0.0404909	-0.0853461	191.735	37.5631	191.615	37.3064	2.12037	0.131591	0.208336
191.731	37.5638	2.32551	0.0317468	-0.0936126	191.682	37.1147	191.615	37.3064	2.12037	0.131591	0.710076
193.661	37.3063	2.10576	-0.17059	-0.158899	193.471	37.2789	193.738	37.3853	2.02462	0.0250452	4.94204
193.651	37.3046	2.10117	-0.170687	-0.158551	193.555	37.4234	193.738	37.3853	2.02462	0.0250452	0.0671085
195.9	37.3418	2.1738	-0.0251279	0.0107591	195.991	37.3991	195.762	37.3598	1.92349	-0.072386	2.91951
195.826	37.321	2.10311	-0.0529789	-0.0115275	195.507	37.4891	195.762	37.3598	1.92349	-0.072386	2.05937
197.784	37.6747	2.00986	0.172069	0.113716	197.725	37.7285	197.683	37.2395	1.81869	-0.159495	1.71614
197.74	37.6656	1.97248	0.164881	0.109461	197.582	37.303	197.683	37.2395	1.81869	-0.159495	0.784066
199.445	37.3948	1.78568	-0.0726644	-0.0685504	199.294	37.2862	199.497	37.0353	1.71212	-0.235529	6.13477
199.425	37.3859	1.76017	-0.0807071	-0.0758424	199.356	37.3527	199.497	37.0353	1.71212	-0.235529	0.217269
201.409	37.0231	1.92869	-0.23071	-0.108233	201.549	36.9973	201.203	36.7587	1.6057	-0.300201	2.74813
201.34	36.9946	1.86888	-0.265134	-0.135343	200.932	37.4694	201.203	36.7587	1.6057	-0.300201	1.85187
203.002	36.4436	1.81842	-0.386362	-0.13044	202.962	36.4568	202.801	36.4212	1.50137	-0.353671	0.230231
202.954	36.4196	1.77668	-0.424576	-0.161871	202.65	37.2445	202.801	36.4212	1.50137	-0.353671	0.917573
204.184	36.0685	1.47686	-0.420372	-0.0905649	203.991	36.1967	204.294	36.0343	1.40095	-0.396497	7.75768
204.157	36.0632	1.48483	-0.4136	-0.0772942	203.809	36.2941	204.294	36.0343	1.40095	-0.396497	1.66432
